#TK (K)     kappa_HH
1.0         1.38e-13
2.0         1.43e-13
4.0         2.71e-13
6.0         6.60e-13
8.0         1.47e-12
10.0        2.88e-12
15.0        9.10e-12
20.0        1.78e-11
25.0        2.73e-11
30.0        3.67e-11
40.0        5.38e-11
50.0        6.86e-11
60.0        8.14e-11
70.0        9.25e-11
80.0        1.02e-10
90.0        1.11e-10
100.0       1.19e-10
200.0       1.75e-10
300.0       2.09e-10
501.0       2.565e-10
701.0       2.91e-10
1000.0      3.31e-10
2000.0      4.27e-10
3000.0      4.97e-10
5000.0      6.03e-10
7000.0      6.87e-10
10000.0     7.87e-10
